description,ua
Perl LWP:Collective module - secure-netz.de link checking (in conjunction w. libwww-perl/5.50),LWP::Simple/5.50
Perl LWP:Collective module - Inktomi (62.253.64.x) robot,LWP::Simple/5.51
Perl LWP:Collective module - Only.com ,LWP::Simple/5.53
Perl LWP:Collective module,LWP::Simple/5.63
ThePlanet/jaja-jak-globusy.com Google Adsense refferer spam bot from 70.85.116.* / 70.84.128.xxx / 70.85.193.xxx,LWP::Simple/5.803
Lycos spider,Lycos_Spider_(modspider)
Lycos spider,Lycos_Spider_(T-Rex)
Bobcat - Text and Lynx based DOS browser,Lynx/2-4-2 (Bobcat/0.5 [DOS] Jp Beta04)
Lynx 2.x text mode browser,Lynx/2.6 libwww-FM/2.14
seebot.org online service - uses lynx browser for crawlers view of web pages,Lynx/2.8 (;http://seebot.org)
Lynx 2.x text mode browser,Lynx/2.8.3dev.9 libwww-FM/2.14 SSL-MM/1.4.1 OpenSSL/0.9.6
Lynx 2.x text mode browser used as robot via cogentco.com,Lynx/2.8.4rel.1 libwww-FM/2.14 SSL-MM/1.4.1 OpenSSL/0.9.6c (human-guided@lerly.net)
Some spam bot,Mac Finder 1.0.xx
UKWizz search robot,Mackster( http://www.ukwizz.com )
Wind.it client user-agent ?,Mag-Net
All Magic/Wap wml service for mobile devices,MagicWML/1.0 (forcewml)
Magpie RSS - PHP RSS Parser,MagpieRSS/0.7x (+http://magpierss.sf.net)
Mahiti.com India search crawler,Mahiti.Com/Mahiti Crawler-1.0 (Mahiti.Com; http://mahiti.com ; mahiti.com)
Mail.ru search,Mail.Ru/1.0
Unknown Bea robot,mailto:webcraft@bea.com
SLI Systems mammoth robot,mammoth/1.0 ( http://www.sli-systems.com/)
Looksmart robot,MantraAgent
Map of the Internet visual search engine index robot,MapoftheInternet.com ( http://MapoftheInternet.com)
Kolibri.de robot,Mariner/5.1b [de] (Win95; I ;Kolibri gncwebbot)
Pilot Hitlist web site analysis,Marketwave Hit List
Looksmart directory page analysis,Martini
Looksmart directory page analysis,MARTINI
Marvin Medhunt robot,Marvin v0.3
Sagool search Japan robot,MaSagool/1.0 (MaSagool; http://sagool.jp/; info@sagool.jp)
Mass Downloader download manager,Mass Downloader 2.x
Masterseek (Scandinavia) Beta business search ?,MasterSeek
Lexibot (exMataHari) search software,Mata Hari/2.00 
Virgilio Italy robot (212.48.11.xxx) using Fast Enterprise Search,Matrix S.p.A. - FAST Enterprise Crawler 6 (Unknown admin e-mail address)
Maxomo multimedia search robot,maxomobot/dev-20051201 (maxomo; http://67.102.134.34:4047/MAXOMO/MAXOMObot.html; maxomobot@maxomo.com)
Unknown robot from McAfee Austria (80.123.144.xx),McBot/5.001 (windows; U; NT4.0; en-us)
MegaDownload files search robot,MDbot/1.0 (+http://www.megadownload.net/bot.html)
Substitute for Windows Media Player,Media Player Classic
Media Find crawler,MediaCrawler-1.0 (Experimental)
Google AdSense robot,Mediapartners-Google/2.1 ( http://www.googlebot.com/bot.html)
WWW.fi Media Search,MediaSearch/0.1
Search UK robot,MegaSheep v1.0 (www.searchuk.com internet sheep)
Megite web2.0 RSS and news service software,Megite2.0 (http://www.megite.com)
Mercator crawler software (used by Altavista),Mercator-1.x
Mercator crawler software (used by Altavista),Mercator-2.0
Mercator crawler software (used by Altavista),Mercator-Scrub-1.1
MetaEuro.com Clustering Web Search Engine crawler,Metaeuro Web Crawler/0.2 (MetaEuro Web Search Clustering Engine; http://www.metaeuro.com; crawler at metaeuro dot com)
MetaGer search robot (Germany),MetaGer-LinkChecker
MetaGer search robot (Germany),MetagerBot/0.8-dev (MetagerBot; http://metager.de;  )
MetaGer search robot (Germany),MetaGer_PreChecker0.1
Download Express download manager,MetaProducts Download Express/1.x
Metaspinner search robot - Germany,Metaspinner/0.01 (Metaspinner; http://www.meta-spinner.de/; support@meta-spinner.de/)
Metatagsdir.com directory index spider,metatagsdir/0.7 (+http://metatagsdir.com/directory/)
Microsoft Foundation Class Library - i.e. used for e-mail harvesting from 68.154.96.xx (bellsouth.net),MFC Foundation Class Library 4.0
Microsoft.com user agent,MFC_Tear_Sample
Advanced Site Crawler web site ripper and extractor,MFHttpScan
GigaBaz Brainbot (Germany) robot (213.139.152.xx),MicroBaz
MS Office 2000 acting as WebDAV client,Microsoft Data Access Internet Publishing Provider Cache Manager
MS Office 2000 acting as WebDAV client,Microsoft Data Access Internet Publishing Provider DAV
Server probe for data access operations using MS Frontpage with OPTION header,Microsoft Data Access Internet Publishing Provider Protocol Discovery
MS Office 2000 acting as WebDAV client,Microsoft Data Access Internet Publishing Provider Protocol Discovery
Microsoft Log Parser text query tool,Microsoft Log Parser 2.2
MS Small Business Server content indexer,Microsoft Small Business Indexer
user agent looks for form-mail components (spam-bot),Microsoft URL Control - 6.00.8xxx
Unknown robot from Microsoft.com (131.107.163.xx),MicrosoftPrototypeCrawler (How's my crawling? mailto:newbiecrawler@hotmail.com)
Secure Computing SmartFilterWhere  / Bess web filter (192.55.214.xx),Microsoft_Internet_Explorer_5.00.438 (fjones@isd.net)
xpc-mii.net HTTP server message,MIIxpc/4.2
The Mindjet blog MindManager category,Mindjet MindManager
unknown robot via Korea Telecom (211.218.xxx.xxx),minibot
mini- Rank website popularity tool,miniRank/1.6 (Website ranking; www.minirank.com; robot)
unknown robot via nec.co.jp Telecom (210.143.35.xx),MiracleAlphaTest
Some spam bot,Missauga Locate 1.0.0
Some spam bot,Missigua Locator 1.9
Some spam bot,Missouri College Browse
Mister PiX picture finding software,Mister Pix II 2.02a
Mister PiX  picture finding software,Mister PiX version.dll
Misterbot search France robot,Misterbot-Nutch/0.7.1 (Misterbot-Nutch; http://www.misterbot.fr; admin@misterbot.fr)
Miva / ex Findwhat.com search robot (66.150.55.2xx),Miva (AlgoFeedback@miva.com)
Some spam bot from Jasmine Internet - Bangkok (203.147.0.xx),Mizzu Labs 2.2
Majestic-12 DSearch MJ12bot (Experimental distributed crawler),MJ12bot/vx.x.x (http://majestic12.co.uk/bot.php?+)
Majestic-12 DSearch MJ12bot (Experimental distributed crawler),MJ12bot/vx.x.x (http://www.majestic12.co.uk/projects/dsearch/mj12bot.php)
MJB SEO Club MJBot,MJBot (SEO assessment)
MLBot - metadata labs web crawler for building a media index (beta),MLBot (www.metadatalabs.com)
mnoGoSearch (ex UdmSearch) software robot,MnogoSearch/3.2.xx
Unknown bad bot - maybe guestbook spamming or email harvesting,Mo College 1.9
Goo Japan / Inktomi robot (210.173.179.xx),moget/x.x (moget@goo.ne.jp)
Goo Japan / Inktomi robot (210.173.179.xx),mogimogi/1.0
moiNag - net.art generator,moiNAG 0.02
Mojeek Search Preview robot (217.155.205.xx),MojeekBot/0.x (archi; http://www.mojeek.com/bot.html)
Greasemonkey Firefox extension,monkeyagent
Moonbrowser - IE based browser (Japan),MoonBrowser (version 0.41 Beta4)
Moreover / FeedDirect RSS feed robot,Moreoverbot/x.00 (+http://www.moreover.com)
MixCat robot s. also Felix,Morris - Mixcat Crawler ( http://mixcat.com)
Robots.txt online checker,Motoricerca-Robots.txt-Checker/1.0 (http://tool.motoricerca.info/robots-checker.phtml)
Obigo WAP browser for mobiles on Motorola V3,Motorola-V3m Obigo
MPRM Group Ltd. Spider Monkey robot,Mouse-House/7.4 (spider_monkey spider info at www.mobrien.com/sm.shtml)
Movable Type  web-based personal publishing system,MovableType/x.x
Mozdex Open search engine spider (65.98.100.2xx),mozDex/0.xx-dev (mozDex; http://www.mozdex.com/en/bot.html; spider@mozdex.com)
Bell Nexxia / Sympatico Canada user robot & spoofed referer from diff. IPs,Mozi!
Unknown robots from diff. IPs,Mozilla
libwhisker - HTTP client and utility - Perl library,Mozilla (libwhisker/2.4)
http://www.somewhere.com robot,Mozilla (Mozilla@somewhere.com)
BotSeer search engine for robots.txt,Mozilla 4.0(compatible; BotSeer/1.0; +http://botseer.ist.psu.edu)
PDA Pocket IE 2.x Windows CE,Mozilla/1.1 (compatible; MSPIE 2.0; Windows CE)
Oregano browser for RISC OS,Mozilla/1.10 [en] (Compatible; RISC OS 3.70; Oregano 1.10)
IE 2.x WinNT,Mozilla/1.22 (compatible; MSIE 2.0d; Windows NT)
EudoraWeb 2.0 browser (Eudora Internet Suite) for PalmOS,Mozilla/1.22 (compatible; MSIE 5.01; PalmOS 3.0) EudoraWeb 2
Dummy user agent - i.e. used by Namo Web Editor,Mozilla/2.0
AOL Mac,Mozilla/2.0 (compatible; AOL 3.0; Mac_PowerPC)
AOL Win 3.x,Mozilla/2.0 (Compatible; AOL-IWENG 3.0; Win16)
Ask Jeeves /Teoma robot,Mozilla/2.0 (compatible; Ask Jeeves)
Ask Jeeves /Teoma robot,Mozilla/2.0 (compatible; Ask Jeeves/Teoma)
Ask Jeeves /Teoma robot,Mozilla/2.0 (compatible; Ask Jeeves/Teoma; http://about.ask.com/en/docs/about/webmasters.shtml) 
Ask Jeeves /Teoma robot,Mozilla/2.0 (compatible; Ask Jeeves/Teoma; http://sp.ask.com/docs/about/tech_crawling.html)
Direct Hit Robot,Mozilla/2.0 (compatible; EZResult -- Internet Search Engine)
MS Frontpage x.x web editor,Mozilla/2.0 (compatible; MS FrontPage x.0)
IE 2.x Mac Power PC,Mozilla/2.0 (compatible; MSIE 2.1; Mac_PowerPC)
IE 3.x WinNT,Mozilla/2.0 (compatible; MSIE 3.02; Update a; AK; Windows NT)
IE 3.x AOL Win95,Mozilla/2.0 (compatible; MSIE 3.02; Update a; AOL 3.0; Windows 95)
IE 3.x Win95,Mozilla/2.0 (compatible; MSIE 3.0; AK; Windows 95)
IE 3.x Win 3.1,Mozilla/2.0 (compatible; MSIE 3.0; Windows 3.1)
IE 3.x WinXP,Mozilla/2.0 (compatible; MSIE 3.0B; Win32)
Borland Delphi .OCX component used by WebCollector email harverster,Mozilla/2.0 (compatible; NEWT ActiveX; Win32)
Thunderstone's Webinator Web indexing program,Mozilla/2.0 (compatible; T-H-U-N-D-E-R-S-T-O-N-E)
Check&Get bookmark and link checking tool,Mozilla/2.0 compatible; Check&Get 1.1x (Windows 98)
Netscape 2.x Win3.x International,Mozilla/2.01 (Win16; I)
Netscape 2.x Gold Win95,Mozilla/2.02Gold (Win95; I)
Faked user agent for diff. purposes i.e.: - some download manager - E-mail harvesting,Mozilla/3.0 (compatible)
AvantGo PDA browser,Mozilla/3.0 (compatible; AvantGo 3.2)
Searchhippo robot,Mozilla/3.0 (compatible; Fluffy the spider; http://www.searchhippo.com/; info@searchhippo.com)
HP Web PrintSmart (discontinued) - web page printing software,Mozilla/3.0 (compatible; HP Web PrintSmart 04b0 1.0.1.34)
Internet Direct Library for Borland (often used as e-mail address collector and mass mailing tool),Mozilla/3.0 (compatible; Indy Library)
Outertechs Linkman bookmark tool,Mozilla/3.0 (compatible; Linkman)
Euroferret robot,Mozilla/3.0 (compatible; MuscatFerret/1.5.4; claude@euroferret.com)
Euroferret robot,Mozilla/3.0 (compatible; MuscatFerret/1.5; olly@muscat.co.uk)
Euroferret robot,Mozilla/3.0 (compatible; MuscatFerret/1.6.x; claude@euroferret.com)
Netart Generator  - script generated random websites,Mozilla/3.0 (compatible; netart generator/1.0; libwww-perl/5.64)
NetPositive BEOS browser,Mozilla/3.0 (compatible; NetPositive/2.2)
Opera 3.x Win3.x,Mozilla/3.0 (compatible; Opera/3.0; Windows 3.1) v3.1
Opera 3.x Win95/NT,Mozilla/3.0 (compatible; Opera/3.0; Windows 95/NT4) 3.2
Perman Surfer  bookmark tool,Mozilla/3.0 (compatible; PerMan Surfer 3.0; Win95)
Web Link Validator link validation software,Mozilla/3.0 (compatible; REL Software Web Link Validator 2.x)
Scan4Mail online mail extraction service,Mozilla/3.0 (compatible; scan4mail (advanced version) http://www.peterspages.net/?scan4mail)
WebWobot UK search engine robot (82.43.129.2xx),Mozilla/3.0 (compatible; ScollSpider; http://www.webwobot.com)
Web Link Validator link validation software,Mozilla/3.0 (compatible; Web Link Validator 2.x)Web Link Validator http://www.relsoftware.com/ link validation software
Xelios Web Capture (now Wysigot) website downloading tool (Discontinued),Mozilla/3.0 (compatible; WebCapture x.x; Auto; Windows)
Iprospect search engine positioning using Thunderstone's Webinator,Mozilla/3.0 (compatible; Webinator-DEV01.home.iprospect.com/2.56)
CyberAlert's Media Monitor using Thunderstone's Webinator,Mozilla/3.0 (compatible; Webinator-indexer.cyberalert.com/2.56)
Viking server user/client,Mozilla/3.0 (Compatible;Viking/1.8)
One of DC-Sakuras download manager user-agent names,Mozilla/3.0 (DreamPassport/3.0)
Ilse Netherlands robot (62.69.178.xx),Mozilla/3.0 (INGRID/3.0 MT; webcrawler@NOSPAMexperimental.net; http://aanmelden.ilse.nl/?aanmeld_mode=webhints)
Liberate DTV server suite / TV-emulator,Mozilla/3.0 (Liberate DTV 1.1)
Planetweb 2.1 Browser (discontinued) for Dreamcast,Mozilla/3.0 (Planetweb/2.100 JS SSL US; Dreamcast US)
http://www.goo.ne.jp /Inktomi robot,Mozilla/3.0 (Slurp.so/Goo; slurp@inktomi.com; http://www.inktomi.com/slurp.html)
Inktomi (Hotbot-Lycos-NBCi) robot - 72.30.61.xx(x),Mozilla/3.0 (Slurp/cat; slurp@inktomi.com; http://www.inktomi.com/slurp.html)
Inktomi (Hotbot-Lycos-NBCi) robot - 72.30.61.xx(x),Mozilla/3.0 (Slurp/si; slurp@inktomi.com; http://www.inktomi.com/slurp.html)
WiseGuys robot Netherland - 82.94.216.2,Mozilla/3.0 (Vagabondo/1.1 MT; webcrawler@NOSPAMwise-guys.nl; http://webagent.wise-guys.nl/)
WiseGuys robot Netherland - 82.94.216.2,Mozilla/3.0 (Vagabondo/1.x MT; webagent@wise-guys.nl; http://webagent.wise-guys.nl/)
Ilse Netherlands robot,Mozilla/3.0 (Vagabondo/2.0 MT; webcrawler@NOSPAMexperimental.net; http://aanmelden.ilse.nl/?aanmeld_mode=webhints)
WiseGuys robot Netherland - 82.94.216.2,Mozilla/3.0 (Vagabondo/2.0 MT; webcrawler@NOSPAMwise-guys.nl; http://webagent.wise-guys.nl/)
Netscape 3.x Win3.x,Mozilla/3.0 (Win16; I)
Netscape 3.x Win95,Mozilla/3.0 (Win95; I)
Netscape 3.x WinNT,Mozilla/3.0 (WinNT; I)
Netscape 3.x FreeBSD,Mozilla/3.0 (WorldGate Gazelle 3.5.1 build 11; FreeBSD2.2.8-STABLE)
Netscape 3.x OSF1 V4.0 alpha ,Mozilla/3.0 (X11; I; OSF1 V4.0 alpha)
AOL Web TV,Mozilla/3.0 NAVIO_AOLTV (11; 13; Philips; PH200; 1; R2.0C36_AOL.0110OPTIK; R2.0.0139d_OPTIK)
WebTV,Mozilla/3.0 WebTV/1.2 (compatible; MSIE 2.0)
Amiga Voyager Browser Amiga,Mozilla/3.01 (compatible; AmigaVoyager/2.95; AmigaOS/MC680x0)
Links2Go robot,Mozilla/3.01 (Compatible; Links2Go Similarity Engine)
Netgem Netbox cable modem TV Box Linux,Mozilla/3.01 (compatible; Netbox/3.5 R92; Linux 2.2)
Netscape 3.x Mac,Mozilla/3.01-C-MACOS8 (Macintosh; I; PPC)
Netscape 3.x Linux,Mozilla/3.01Gold (X11; I; Linux 2.0.32 i486)
Netscape 3.x SunOS,Mozilla/3.01Gold (X11; I; SunOS 5.5.1 sun4m)
Netscape 3.x Irix,Mozilla/3.01SGoldC-SGI (X11; I; IRIX 6.3 IP32)
ANT Fresco Browser Risc OS,Mozilla/3.04 (compatible; ANTFresco/2.13; RISC OS 4.02)
NCBrowser ANT Fresco Browser Risc OS,Mozilla/3.04 (compatible; NCBrowser/2.35; ANTFresco/2.17; RISC OS-NC 5.13 Laz1UK1309)
QNX OS Voyager embedded browser,Mozilla/3.04 (compatible;QNX Voyager 2.03B ;Photon)
I-Opener (was www.netpliance.com/) web PC,Mozilla/3.x (I-Opener 1.1; Netpliance)
Yahoo Mindset: Intent-driven Search (66.228.182.1xx),Mozilla/4.0
Agada search (Germany) robot,Mozilla/4.0 (agadine3.0) www.agada.de
URLBase 6 bookmark manager,Mozilla/4.0 (Compatible); URLBase 6
Astrafind! adult search robot (66.98.252.xx),Mozilla/4.0 (compatible: AstraSpider V.2.1 : astrafind.com)
WiseGuys robot Netherland - 82.94.216.2,Mozilla/4.0 (compatible;  Vagabondo/2.2; webcrawler at wise-guys dot nl; http://webagent.wise-guys.nl/)
WiseGuys robot Netherland - 82.94.216.2,Mozilla/4.0 (compatible;  Vagabondo/4.0Beta; webcrawler at wise-guys dot nl; http://webagent.wise-guys.nl/)
ReGet Deluxe! download manager,Mozilla/4.0 (compatible; <a href=http://www.reget.com>ReGet Deluxe 5.1</a>; Windows NT 5.1)
Advanced Email Extractor e-mail collector (spam bot),Mozilla/4.0 (compatible; Advanced Email Extractor v2.xx)
Arachmo Spider - web site file extraction tool,Mozilla/4.0 (compatible; Arachmo)
Novell Border Manager security suite,Mozilla/4.0 (compatible; BorderManager 3.0)
Best of the Web directory link checking,Mozilla/4.0 (compatible; BOTW Spider; +http://botw.org)
Blitzsuche Germany robot,Mozilla/4.0 (compatible; B_L_I_T_Z_B_O_T)
Content Control from Blue Coat,Mozilla/4.0 (compatible; Cerberian Drtrs Version-3.2-Build-0)
"Check&Get bookmark manager, web change monitor and archiver",Mozilla/4.0 (compatible; Check&Get 3.0; Windows NT)
Christcentral.com Christcrawler (was www.christcrawler.com),Mozilla/4.0 (compatible; ChristCrawler.com ChristCrawler@ChristCENTRAL.com)
Yahoo Search Marketing crawler (68.142.211.1xx),"Mozilla/4.0 (compatible; crawlx, crawler@trd.overture.com)"
DAUMOA - Daum search Korea robot (211.115.109.xxx),Mozilla/4.0 (compatible; DAUMOA-video; +http://ws.daum.net/aboutkr.html)
DepSpid distributed web crawler for link dependencies,Mozilla/4.0 (compatible; DepSpid/5.0x; +http://about.depspid.net)
Download Mage download manager,Mozilla/4.0 (compatible; DnloadMage 1.0)
Fast/Alltheweb crawler,Mozilla/4.0 (compatible; FastCrawler3 support-fastcrawler3@fast.no)
Fluid Dynamics Search Engine (FDSE) robot used by Abadoor.de,Mozilla/4.0 (compatible; FDSE robot)
GPU Distributed Search Engine crawler,Mozilla/4.0 (compatible; GPU p2p crawler http://gpu.sourceforge.net/search_engine.php)
Grub open source crawler,Mozilla/4.0 (compatible; grub-client-0.2.x; Crawl your stuff with http://grub.org)
Grub open source crawler,Mozilla/4.0 (compatible; grub-client-0.3.x; Crawl your own stuff with http://grub.org)
Grub open source crawler used by Looksmart ( 64.241.242.xx),Mozilla/4.0 (compatible; grub-client-2.x)
ibisBrowser Japanese mobile browser,Mozilla/4.0 (compatible; ibisBrowser)
Novell iChain Cool Solutions caching,Mozilla/4.0 (compatible; ICS 1.2.xxx)
IE Favorites Check - Bookmark manager,Mozilla/4.0 (compatible; IE-Favorites-Check-0.5)
Iplexx Austria (webhosting company) logfile spamming bot,Mozilla/4.0 (compatible; Iplexx Spider/1.0 http://www.iplexx.at)
KeepNi Monitors - Web site monitoring / link checking tool,Mozilla/4.0 (compatible; KeepNI web site monitor)
NetPromoter Link Utility link checking tool,Mozilla/4.0 (compatible; Link Utility; http://net-promoter.com)
Lotus Notes 5.0 browser,Mozilla/4.0 (compatible; Lotus-Notes/5.0; Windows-NT)
IE 4.x AOL Win98,Mozilla/4.0 (compatible; MSIE 4.01; AOL 4.0; Windows 98)
IE 4.x Mac Power PC,Mozilla/4.0 (compatible; MSIE 4.01; Mac_PowerPC)
Internet Explorer 4.0 URL check,Mozilla/4.0 (compatible; MSIE 4.01; MSIECrawler; Windows 95)
Vonna search robot,Mozilla/4.0 (compatible; MSIE 4.01; Vonna.com b o t)
IE 4.x Win95,Mozilla/4.0 (compatible; MSIE 4.01; Windows 95)
IE PDA Browser Windows CE,Mozilla/4.0 (compatible; MSIE 4.01; Windows CE; MSN Companion 2.0; 800x600; Compaq)
Orange France robot for mobiles,Mozilla/4.0 (compatible; MSIE 4.01; Windows CE; PPC; 240x320; SPV M700; OpVer 19.123.2.733) OrangeBot-Mobile 2008.0 (mobilesearch.support@orange-ftgroup.com)
